character_mal_id,nickname
265038,Roy Douglas
265033,Professor Ray
265016,Fire Salamander
265015,Catgirl
265014,Child of The God
265006,The Armor-Piercing Alchemist
264955,The King of Spin
264953,Lightning Beast
264952,Agey
264952,Aji
264943,C.J.
264938,Ashi
264937,Ninja Lion
264936,Mature Modesty
264934,Gore
264922,Kagaku
264921,Chokkirine
264920,Zackly
264896,Ono
264842,The Spade
264819,The Messenger of Hell
264791,Crimson Sakura
264668,Pierre's Heart
264663,Caputsun
264607,Big-Breasted Babe's Little Sister
264529,Hartl the Light Grip
264518,Lustful Glasses
264517,Wild Nipple
264516,The Second
264446,The Remnant Zart
264385,Nagao
264263,Oracle Witch
264263,Prophecy Majik
264248,Neo Silver
264220,Kizuna Silver
264217,Guelta Fuhrer
264217,Guelta Fuhrer
264216,Nanashi
264209,Tusk
264188,Politoed
264187,Hydrapple
264186,Milotic
264168,Bomber Choujin
264168,Bomber Choujin
264162,Der Freischütz
264140,The End
264131,Witch of Calamity
264130,Witch of Wisdom
264119,Avanti
264119,Effendi
264095,Nina
264094,Yoon-Suk Bae
264093,Sung-Gu Lee
264071,The Genocider
264067,Kyou
264050,Second Oldest of the Nekosogi Brothers
264050,Fireball Hachiku
264048,Jyoon
264040,Queen Juana of Castile
264017,Xervus
264001,Devil of Sleepiness
263963,Forest Witch
263962,Crown Prince
263962,Miracle Doctor
263959,The King of the Dragons
263958,The Serpent Dragon
263957,The Wise Dragon
263949,Subaru
263929,Osana-zuma
263928,Hina
263921,Christie
263909,Sensei
263908,Ghost Ripper
263907,Kindake Majik
263902,Cuculus
263901,Snowman
263899,The Colonel
263878,Kamio
263875,Small Girl
263864,Lethargic Boy
263836,Editor-in-chief
263836,Goshujinsama
263836,The Master
263813,Abbie
263812,Norm
263746,Andy
263744,Cure Kiss
263743,Cure Zukyoon
263731,Oku
263713,The Queen of Drugs
263713,The Drug Lord
263713,Cyclops
263689,Sadie
